epoch,train_loss,val_loss,lr,train_accuracy,train_bce,val_accuracy,val_bce,val_best_accuracy,val_best_threshold
0.0,0.6107149124145508,0.6341347694396973,0.0004,0.5422031283378601,0.69317227602005,0.6346153616905212,0.6849768757820129,0.6730769276618958,0.4699999988079071
1.0,0.5979244709014893,1.0193523168563843,0.0004,0.5145446062088013,0.7006723880767822,0.42307692766189575,0.8045434355735779,0.6153846383094788,0.3400000035762787
2.0,0.5896202921867371,1.275183081626892,0.0004,0.5059608817100525,0.699759840965271,0.42307692766189575,0.8779103755950928,0.6730769276618958,0.25
3.0,0.5820328593254089,1.4044908285140991,0.0004,0.5627086162567139,0.6868088245391846,0.4615384638309479,0.8702881336212158,0.6346153616905212,0.27000001072883606
4.0,0.5812670588493347,1.5185906887054443,0.0004,0.5488793253898621,0.6899100542068481,0.4615384638309479,0.9425631165504456,0.6346153616905212,0.20999999344348907
5.0,0.5750910639762878,1.0348434448242188,0.0004,0.5593705177307129,0.6806665062904358,0.5192307829856873,0.8240334987640381,0.6346153616905212,0.3199999928474426
6.0,0.5771723389625549,1.9633409976959229,0.0004,0.5064377784729004,0.7077604532241821,0.4423076808452606,1.0476046800613403,0.5961538553237915,0.14000000059604645
7.0,0.5715962648391724,1.4992706775665283,0.0004,0.553648054599762,0.691253125667572,0.4615384638309479,1.1115012168884277,0.5769230723381042,0.10000000149011612
8.0,0.5732120871543884,0.9580065011978149,0.0004,0.553648054599762,0.6917393803596497,0.48076921701431274,0.9628943204879761,0.557692289352417,0.3199999928474426
9.0,0.5664572715759277,1.2721924781799316,0.0004,0.536003828048706,0.6935317516326904,0.42307692766189575,1.017654538154602,0.5769230723381042,0.10999999940395355
10.0,0.5681044459342957,0.9021126627922058,0.0002,0.554601788520813,0.6864722371101379,0.48076921701431274,0.9176510572433472,0.5769230723381042,0.12999999523162842
