year,month,settlement_date
2017,5,2017-05-17
2017,6,2017-06-21
2017,7,2017-07-19
2017,8,2017-08-16
2017,9,2017-09-20
2017,10,2017-10-18
2017,11,2017-11-15
2017,12,2017-12-20
2018,1,2018-01-17
2018,2,2018-02-21
2018,3,2018-03-21
2018,4,2018-04-18
2018,5,2018-05-16
2018,6,2018-06-20
2018,7,2018-07-18
2018,8,2018-08-15
2018,9,2018-09-19
2018,10,2018-10-17
2018,11,2018-11-21
2018,12,2018-12-19
2019,1,2019-01-16
2019,2,2019-02-20
2019,3,2019-03-20
2019,4,2019-04-17
2019,5,2019-05-15
2019,6,2019-06-19
2019,7,2019-07-17
2019,8,2019-08-21
2019,9,2019-09-18
2019,10,2019-10-16
2019,11,2019-11-20
2019,12,2019-12-18
2020,1,2020-01-15
2020,2,2020-02-19
2020,3,2020-03-18
2020,4,2020-04-15
2020,5,2020-05-20
2020,6,2020-06-17
2020,7,2020-07-15
2020,8,2020-08-19
2020,9,2020-09-16
2020,10,2020-10-21
2020,11,2020-11-18
2020,12,2020-12-16
2021,1,2021-01-20
2021,2,2021-02-17
2021,3,2021-03-17
2021,4,2021-04-21
2021,5,2021-05-19
2021,6,2021-06-16
2021,7,2021-07-21
2021,8,2021-08-18
2021,9,2021-09-15
2021,10,2021-10-20
2021,11,2021-11-17
2021,12,2021-12-15
2022,1,2022-01-19
2022,2,2022-02-16
2022,3,2022-03-16
2022,4,2022-04-20
2022,5,2022-05-18
2022,6,2022-06-15
2022,7,2022-07-20
2022,8,2022-08-17
2022,9,2022-09-21
2022,10,2022-10-19
2022,11,2022-11-16
2022,12,2022-12-21
2023,1,2023-01-18
2023,2,2023-02-15
2023,3,2023-03-15
2023,4,2023-04-19
2023,5,2023-05-17
2023,6,2023-06-21
2023,7,2023-07-19
2023,8,2023-08-16
2023,9,2023-09-20
2023,10,2023-10-18
2023,11,2023-11-15
2023,12,2023-12-20
2024,1,2024-01-17
2024,2,2024-02-21
2024,3,2024-03-20
2024,4,2024-04-17
2024,5,2024-05-15
2024,6,2024-06-19
2024,7,2024-07-17
2024,8,2024-08-21
2024,9,2024-09-18
2024,10,2024-10-16
2024,11,2024-11-20
2024,12,2024-12-18
2025,1,2025-01-15
2025,2,2025-02-19
2025,3,2025-03-19
2025,4,2025-04-16
2025,5,2025-05-21
2025,6,2025-06-18
2025,7,2025-07-16
2025,8,2025-08-20
2025,9,2025-09-17
2025,10,2025-10-15
2025,11,2025-11-19
2025,12,2025-12-17
2026,1,2026-01-21
2026,2,2026-02-18
2026,3,2026-03-18
2026,4,2026-04-15
2026,5,2026-05-20
2026,6,2026-06-17
2026,7,2026-07-15
2026,8,2026-08-19
2026,9,2026-09-16
2026,10,2026-10-21
2026,11,2026-11-18
2026,12,2026-12-16
2027,1,2027-01-20
2027,2,2027-02-17
2027,3,2027-03-17
2027,4,2027-04-21
2027,5,2027-05-19
2027,6,2027-06-16
2027,7,2027-07-21
2027,8,2027-08-18
2027,9,2027-09-15
2027,10,2027-10-20
2027,11,2027-11-17
2027,12,2027-12-15
2028,1,2028-01-19
2028,2,2028-02-16
2028,3,2028-03-15
2028,4,2028-04-19
2028,5,2028-05-17
2028,6,2028-06-21
2028,7,2028-07-19
2028,8,2028-08-16
2028,9,2028-09-20
2028,10,2028-10-18
2028,11,2028-11-15
2028,12,2028-12-20
2029,1,2029-01-17
2029,2,2029-02-21
2029,3,2029-03-21
2029,4,2029-04-18
2029,5,2029-05-16
2029,6,2029-06-20
2029,7,2029-07-18
2029,8,2029-08-15
2029,9,2029-09-19
2029,10,2029-10-17
2029,11,2029-11-21
2029,12,2029-12-19
2030,1,2030-01-16
2030,2,2030-02-20
2030,3,2030-03-20
2030,4,2030-04-17
2030,5,2030-05-15
2030,6,2030-06-19
2030,7,2030-07-17
2030,8,2030-08-21
2030,9,2030-09-18
2030,10,2030-10-16
2030,11,2030-11-20
2030,12,2030-12-18
2031,1,2031-01-15
2031,2,2031-02-19
2031,3,2031-03-19
2031,4,2031-04-16
2031,5,2031-05-21
2031,6,2031-06-18
2031,7,2031-07-16
2031,8,2031-08-20
2031,9,2031-09-17
2031,10,2031-10-15
2031,11,2031-11-19
2031,12,2031-12-17
2032,1,2032-01-21
2032,2,2032-02-18
2032,3,2032-03-17
2032,4,2032-04-21
2032,5,2032-05-19
2032,6,2032-06-16
2032,7,2032-07-21
2032,8,2032-08-18
2032,9,2032-09-15
2032,10,2032-10-20
2032,11,2032-11-17
2032,12,2032-12-15
2033,1,2033-01-19
2033,2,2033-02-16
2033,3,2033-03-16
2033,4,2033-04-20
2033,5,2033-05-18
2033,6,2033-06-15
2033,7,2033-07-20
2033,8,2033-08-17
2033,9,2033-09-21
2033,10,2033-10-19
2033,11,2033-11-16
2033,12,2033-12-21
2034,1,2034-01-18
2034,2,2034-02-15
2034,3,2034-03-15
2034,4,2034-04-19
2034,5,2034-05-17
2034,6,2034-06-21
2034,7,2034-07-19
2034,8,2034-08-16
2034,9,2034-09-20
2034,10,2034-10-18
2034,11,2034-11-15
2034,12,2034-12-20
2035,1,2035-01-17
2035,2,2035-02-21
2035,3,2035-03-21
2035,4,2035-04-18
2035,5,2035-05-16
2035,6,2035-06-20
2035,7,2035-07-18
2035,8,2035-08-15
2035,9,2035-09-19
2035,10,2035-10-17
2035,11,2035-11-21
2035,12,2035-12-19
